player_id,name,position,team,month,weighted_total,games_in_month,raw_grit_per_game
8448208,Jaromir Jagr,R,CGY,2017-10,13.0,5,2.6
8448208,Jaromir Jagr,R,CGY,2017-11,43.0,10,4.3
8448208,Jaromir Jagr,R,CGY,2017-12,7.0,7,1.0
8464989,Matt Cullen,C,MIN,2017-10,110.0,10,11.0
8464989,Matt Cullen,C,MIN,2017-11,94.5,15,6.3
8464989,Matt Cullen,C,MIN,2017-12,99.5,13,7.6538
8464989,Matt Cullen,C,MIN,2018-01,76.5,11,6.9545
8464989,Matt Cullen,C,MIN,2018-02,91.0,12,7.5833
8464989,Matt Cullen,C,MIN,2018-03,119.0,15,7.9333
8464989,Matt Cullen,C,MIN,2018-04,21.5,3,7.1667
8465009,Zdeno Chara,D,BOS,2017-10,150.5,10,15.05
8465009,Zdeno Chara,D,BOS,2017-11,206.0,13,15.8462
8465009,Zdeno Chara,D,BOS,2017-12,207.5,14,14.8214
8465009,Zdeno Chara,D,BOS,2018-01,179.0,11,16.2727
8465009,Zdeno Chara,D,BOS,2018-02,180.5,13,13.8846
8465009,Zdeno Chara,D,BOS,2018-03,70.0,7,10.0
8465009,Zdeno Chara,D,BOS,2018-04,40.5,5,8.1
8466138,Joe Thornton,C,SJS,2017-10,89.5,11,8.1364
8466138,Joe Thornton,C,SJS,2017-11,141.0,12,11.75
8466138,Joe Thornton,C,SJS,2017-12,120.5,13,9.2692
8466138,Joe Thornton,C,SJS,2018-01,85.0,11,7.7273
8466139,Patrick Marleau,C,TOR,2017-10,110.5,12,9.2083
8466139,Patrick Marleau,C,TOR,2017-11,224.0,15,14.9333
8466139,Patrick Marleau,C,TOR,2017-12,173.5,13,13.3462
8466139,Patrick Marleau,C,TOR,2018-01,73.5,12,6.125
8466139,Patrick Marleau,C,TOR,2018-02,113.0,14,8.0714
8466139,Patrick Marleau,C,TOR,2018-03,127.5,13,9.8077
8466139,Patrick Marleau,C,TOR,2018-04,25.5,3,8.5
8466141,Roberto Luongo,G,FLA,2017-10,-5.0,0,0.0
8466141,Roberto Luongo,G,FLA,2017-11,-17.5,0,0.0
8466141,Roberto Luongo,G,FLA,2017-12,-2.5,0,0.0
8466141,Roberto Luongo,G,FLA,2018-02,-2.0,0,0.0
8466141,Roberto Luongo,G,FLA,2018-03,-22.5,0,0.0
8466251,Jason Chimera,L,ANA,2017-10,120.0,12,10.0
8466251,Jason Chimera,L,ANA,2017-11,95.5,12,7.9583
8466251,Jason Chimera,L,ANA,2017-12,132.0,15,8.8
8466251,Jason Chimera,L,ANA,2018-01,93.5,13,7.1923
8466251,Jason Chimera,L,ANA,2018-02,69.5,6,11.5833
8466251,Jason Chimera,L,ANA,2018-03,93.0,13,7.1538
8466251,Jason Chimera,L,ANA,2018-04,10.0,3,3.3333
8467370,Mike Fisher,C,NSH,2018-03,203.0,12,16.9167
8467370,Mike Fisher,C,NSH,2018-04,82.0,4,20.5
8467400,Francois Beauchemin,D,ANA,2017-10,155.0,11,14.0909
8467400,Francois Beauchemin,D,ANA,2017-11,97.0,9,10.7778
8467400,Francois Beauchemin,D,ANA,2017-12,166.0,14,11.8571
8467400,Francois Beauchemin,D,ANA,2018-01,113.0,8,14.125
8467400,Francois Beauchemin,D,ANA,2018-02,93.0,9,10.3333
8467400,Francois Beauchemin,D,ANA,2018-03,118.5,12,9.875
8467400,Francois Beauchemin,D,ANA,2018-04,37.5,4,9.375
8467407,Brian Gionta,R,BOS,2018-03,113.0,15,7.5333
8467407,Brian Gionta,R,BOS,2018-04,19.5,5,3.9
8467875,Daniel Sedin,L,VAN,2017-10,26.5,11,2.4091
8467875,Daniel Sedin,L,VAN,2017-11,69.0,15,4.6
8467875,Daniel Sedin,L,VAN,2017-12,60.5,13,4.6538
8467875,Daniel Sedin,L,VAN,2018-01,57.0,10,5.7
8467875,Daniel Sedin,L,VAN,2018-02,77.5,14,5.5357
8467875,Daniel Sedin,L,VAN,2018-03,52.5,15,3.5
8467875,Daniel Sedin,L,VAN,2018-04,6.5,3,2.1667
8467876,Henrik Sedin,C,VAN,2017-10,49.5,11,4.5
8467876,Henrik Sedin,C,VAN,2017-11,37.0,15,2.4667
8467876,Henrik Sedin,C,VAN,2017-12,51.0,13,3.9231
8467876,Henrik Sedin,C,VAN,2018-01,59.0,11,5.3636
