player_id,name,position,team,games_played,toi_min,weighted_total,raw_grit_per_60,grit_per_game,grit_z_pos,grit_z_vol,grit_z_blend,raw_blocked_shots,raw_blocked_shots_hd,raw_blocked_shots_non_hd,raw_crease_goals,raw_dz_faceoff_wins,raw_fighting_majors,raw_giveaways_dz,raw_giveaways_nz,raw_giveaways_oz,raw_hits_taken,raw_hits_thrown,raw_penalties_drawn,raw_physical_minors_taken,raw_takeaways_high_danger,raw_takeaways_other
8476453,Nikita Kucherov,R,TBL,82,1650.8,777.5,28.25902592682336,9.481707317073171,-0.6977126257756766,-0.18709102518944326,-0.5445261455998065,28,10,18,7,0,0,20,21,57,107,61,38,3,8,49
8475184,Chris Kreider,L,NYR,79,1454.6,950.0,39.18603052385536,12.025316455696203,-0.0832321656562129,0.5123777748585348,0.09545081649821138,24,4,20,27,3,0,13,4,22,64,128,11,4,8,23
8479323,Adam Fox,D,NYR,82,1999.0,870.0,26.11305652826413,10.609756097560975,-1.1735203713455253,-0.6377087685799012,-1.012776890515838,125,71,54,3,0,0,38,9,27,97,25,14,2,12,76
8477426,Nick Paul,L,TBL,80,1292.7,1251.5,58.087723369691346,15.64375,0.9797051483905729,1.507413266301085,1.1380175837637263,46,18,28,3,176,1,16,6,13,122,111,18,3,5,55
8482109,Alexis Lafrenière,L,NYR,81,1232.8,899.5,43.77839065541856,11.104938271604938,0.17501935621499864,0.25928235455934595,0.20029825571830284,28,3,25,7,1,1,8,5,23,127,141,14,1,3,29
8479525,Ross Colton,C,TBL,81,1000.5,1248.0,74.84257871064467,15.407407407407407,1.532554153505131,0.6697627932975074,1.2737167454428437,28,8,20,11,40,2,6,3,11,118,188,17,11,5,33
8482073,Braden Schneider,D,NYR,81,1273.5,1189.5,56.042402826855124,14.685185185185185,1.3704226014630903,0.5755293210204538,1.1319546173302992,130,83,47,0,0,2,43,3,6,182,147,8,1,8,15
8470621,Corey Perry,R,TBL,81,936.5,587.5,37.64014949279231,7.253086419753086,-0.17016483588823497,-0.7999409953913129,-0.35909768373915835,25,9,16,5,0,9,10,6,10,83,48,16,5,8,22
8471817,Ryan Reaves,R,MIN,73,680.4,869.0,76.63139329805998,11.904109589041095,2.0225090319894194,0.47904701649260173,1.559470427340374,24,4,20,4,1,7,10,3,3,55,196,7,2,4,11
8480817,K'Andre Miller,D,NYR,79,1734.2,1060.0,36.673970706954215,13.417721518987342,-0.275860825317341,0.1982107211985728,-0.13363936136256688,105,62,43,2,0,0,55,5,8,93,162,4,4,11,50
8477930,Pierre-Edouard Bellemare,L,TBL,73,823.6,869.0,63.307430791646425,11.904109589041095,1.273235565610598,0.47904701649260173,1.0349790008751991,48,16,32,2,119,2,13,2,6,107,67,9,1,2,28
8481554,Kaapo Kakko,R,NYR,82,1255.2,564.5,26.98374760994264,6.884146341463414,-0.7694279435444722,-0.9013960774368918,-0.809018383712198,27,3,24,11,0,0,4,9,17,90,26,14,1,3,44
8479542,Brandon Hagel,L,TBL,81,1510.4,1154.5,45.86202330508474,14.253086419753087,0.2921925062688186,1.1249937463459423,0.5420328782919557,58,15,43,11,5,0,14,12,22,189,68,30,8,12,80
