player_id,name,position,team,month,weighted_total,games_in_month,raw_grit_per_game
8470595,Eric Staal,C,FLA,2023-04,68.5,7,9.7857
8470595,Eric Staal,C,FLA,2023-05,47.5,9,5.2778
8470595,Eric Staal,C,FLA,2023-06,48.5,5,9.7
8470600,Ryan Suter,D,DAL,2023-04,99.5,6,16.5833
8470600,Ryan Suter,D,DAL,2023-05,198.5,13,15.2692
8470610,Zach Parise,L,NYI,2023-04,76.5,6,12.75
8470613,Brent Burns,D,CAR,2023-04,75.5,6,12.5833
8470613,Brent Burns,D,CAR,2023-05,149.5,9,16.6111
8470621,Corey Perry,R,TBL,2023-04,100.0,6,16.6667
8470638,Patrice Bergeron,C,BOS,2023-04,67.0,3,22.3333
8470794,Joe Pavelski,C,DAL,2023-04,14.5,1,14.5
8470794,Joe Pavelski,C,DAL,2023-05,196.5,13,15.1154
8470966,Mark Giordano,D,TOR,2023-04,95.0,6,15.8333
8470966,Mark Giordano,D,TOR,2023-05,49.0,5,9.8
8471218,Blake Wheeler,R,WPG,2023-04,86.0,5,17.2
8471276,David Krejci,C,BOS,2023-04,39.0,4,9.75
8471303,Alexander Edler,D,LAK,2023-04,66.5,4,16.625
8471669,Paul Stastny,C,CAR,2023-04,49.5,6,8.25
8471669,Paul Stastny,C,CAR,2023-05,89.0,9,9.8889
8471677,Jack Johnson,D,COL,2023-04,41.5,3,13.8333
8471685,Anze Kopitar,C,LAK,2023-04,152.0,6,25.3333
8471686,Marc Staal,D,FLA,2023-04,88.0,7,12.5714
8471686,Marc Staal,D,FLA,2023-05,102.0,9,11.3333
8471686,Marc Staal,D,FLA,2023-06,80.0,5,16.0
8471699,Andrew Cogliano,C,COL,2023-04,42.0,4,10.5
8471794,Darren Helm,C,COL,2023-04,13.0,1,13.0
8471817,Ryan Reaves,R,MIN,2023-04,79.0,6,13.1667
8473419,Brad Marchand,L,BOS,2023-04,94.5,7,13.5
8473422,Nick Foligno,L,BOS,2023-04,127.0,6,21.1667
8473446,Erik Johnson,D,COL,2023-04,169.5,7,24.2143
8473504,Cal Clutterbuck,R,NYI,2023-04,108.5,6,18.0833
8473533,Jordan Staal,C,CAR,2023-04,159.5,6,26.5833
8473533,Jordan Staal,C,CAR,2023-05,228.5,9,25.3889
8473548,Phil Kessel,R,VGK,2023-04,32.0,4,8.0
8473986,Alex Killorn,L,TBL,2023-04,95.0,6,15.8333
8473994,Jamie Benn,L,DAL,2023-04,107.5,6,17.9167
8473994,Jamie Benn,L,DAL,2023-05,187.5,11,17.0455
8474013,Ian Cole,D,TBL,2023-04,83.5,6,13.9167
8474034,Patrick Maroon,L,TBL,2023-04,76.0,6,12.6667
8474090,Brendan Smith,D,NJD,2023-04,19.0,1,19.0
8474090,Brendan Smith,D,NJD,2023-05,18.0,2,9.0
8474141,Patrick Kane,R,NYR,2023-04,40.0,6,6.6667
8474141,Patrick Kane,R,NYR,2023-05,-2.5,1,-2.5
8474149,Evgenii Dadonov,R,DAL,2023-04,74.0,6,12.3333
8474149,Evgenii Dadonov,R,DAL,2023-05,102.0,10,10.2
8474166,Alec Martinez,D,VGK,2023-04,95.5,5,19.1
8474166,Alec Martinez,D,VGK,2023-05,183.5,12,15.2917
8474166,Alec Martinez,D,VGK,2023-06,67.5,5,13.5
8474189,Lars Eller,C,COL,2023-04,145.0,7,20.7143
8474563,Drew Doughty,D,LAK,2023-04,156.0,6,26.0
8474564,Steven Stamkos,C,TBL,2023-04,131.5,6,21.9167
8474565,Alex Pietrangelo,D,VGK,2023-04,133.5,5,26.7
8474565,Alex Pietrangelo,D,VGK,2023-05,219.0,11,19.9091
8474565,Alex Pietrangelo,D,VGK,2023-06,114.0,5,22.8
8474567,Zach Bogosian,D,TBL,2023-04,72.5,5,14.5
8474568,Luke Schenn,D,TOR,2023-04,188.5,6,31.4167
8474568,Luke Schenn,D,TOR,2023-05,85.0,5,17.0
8474586,Jordan Eberle,R,SEA,2023-04,79.5,7,11.3571
8474586,Jordan Eberle,R,SEA,2023-05,78.5,7,11.2143
8474602,Justin Schultz,D,SEA,2023-04,38.5,7,5.5
8474602,Justin Schultz,D,SEA,2023-05,99.0,7,14.1429
8474610,Zac Dalpe,C,FLA,2023-04,27.5,4,6.875
8474610,Zac Dalpe,C,FLA,2023-05,21.5,5,4.3
8474610,Zac Dalpe,C,FLA,2023-06,17.5,4,4.375
8474613,Derek Stepan,C,CAR,2023-04,42.0,5,8.4
8474613,Derek Stepan,C,CAR,2023-05,76.0,6,12.6667
8474673,TJ Brodie,D,TOR,2023-04,156.5,6,26.0833
8474673,TJ Brodie,D,TOR,2023-05,64.0,5,12.8
8474679,Gustav Nyquist,C,MIN,2023-04,28.5,6,4.75
8474709,Matt Martin,L,NYI,2023-04,126.0,6,21.0
8474716,Jared Spurgeon,D,MIN,2023-04,91.0,6,15.1667
8475149,Marcus Johansson,L,MIN,2023-04,91.0,6,15.1667
8475151,Kyle Palmieri,C,NYI,2023-04,111.5,6,18.5833
8475158,Ryan O'Reilly,C,TOR,2023-04,139.5,6,23.25
8475158,Ryan O'Reilly,C,TOR,2023-05,87.5,5,17.5
8475166,John Tavares,C,TOR,2023-04,109.5,6,18.25
8475166,John Tavares,C,TOR,2023-05,96.5,5,19.3
8475167,Victor Hedman,D,TBL,2023-04,97.0,5,19.4
8475169,Evander Kane,L,EDM,2023-04,141.5,6,23.5833
8475169,Evander Kane,L,EDM,2023-05,142.5,6,23.75
8475184,Chris Kreider,L,NYR,2023-04,84.5,6,14.0833
8475184,Chris Kreider,L,NYR,2023-05,10.5,1,10.5
8475188,Brayden McNabb,D,VGK,2023-04,97.0,4,24.25
8475188,Brayden McNabb,D,VGK,2023-05,212.0,12,17.6667
8475188,Brayden McNabb,D,VGK,2023-06,102.0,5,20.4
8475191,Reilly Smith,R,VGK,2023-04,51.5,5,10.3
8475191,Reilly Smith,R,VGK,2023-05,129.0,12,10.75
8475191,Reilly Smith,R,VGK,2023-06,51.5,5,10.3
8475193,Tomas Tatar,L,NJD,2023-04,40.0,6,6.6667
8475193,Tomas Tatar,L,NJD,2023-05,63.5,6,10.5833
8475200,Dmitry Orlov,D,BOS,2023-04,103.0,7,14.7143
8475218,Mattias Ekholm,D,EDM,2023-04,101.0,6,16.8333
8475218,Mattias Ekholm,D,EDM,2023-05,61.5,6,10.25
8475220,Marcus Foligno,L,MIN,2023-04,133.5,6,22.25
8475231,Casey Cizikas,C,NYI,2023-04,159.0,6,26.5
8475287,Erik Haula,L,NJD,2023-04,118.0,6,19.6667
8475287,Erik Haula,L,NJD,2023-05,93.5,6,15.5833
8475314,Anders Lee,L,NYI,2023-04,61.0,6,10.1667
8475455,Brenden Dillon,D,WPG,2023-04,141.5,5,28.3
8475462,Radko Gudas,D,FLA,2023-04,161.5,7,23.0714
8475462,Radko Gudas,D,FLA,2023-05,216.0,9,24.0
8475462,Radko Gudas,D,FLA,2023-06,87.5,5,17.5
8475683,Sergei Bobrovsky,G,FLA,2023-04,-2.5,0,0.0
8475683,Sergei Bobrovsky,G,FLA,2023-05,-15.0,0,0.0
8475683,Sergei Bobrovsky,G,FLA,2023-06,-10.0,0,0.0
8475692,Mats Zuccarello,R,MIN,2023-04,83.5,6,13.9167
8475714,Calle Jarnkrok,C,TOR,2023-04,63.0,6,10.5
8475714,Calle Jarnkrok,C,TOR,2023-05,31.5,5,6.3
8475718,Justin Holl,D,TOR,2023-04,120.0,5,24.0
8475718,Justin Holl,D,TOR,2023-05,71.0,3,23.6667
8475745,Charlie Coyle,C,BOS,2023-04,187.0,7,26.7143
8475750,Jon Merrill,D,MIN,2023-04,23.5,2,11.75
8475754,Brock Nelson,C,NYI,2023-04,60.5,6,10.0833
8475760,Nick Bjugstad,C,EDM,2023-04,181.0,6,30.1667
8475760,Nick Bjugstad,C,EDM,2023-05,183.5,6,30.5833
8475762,Derek Forbort,D,BOS,2023-04,81.0,7,11.5714
8475765,Vladimir Tarasenko,R,NYR,2023-04,26.5,6,4.4167
8475765,Vladimir Tarasenko,R,NYR,2023-05,1.5,1,1.5
8475768,Jaden Schwartz,C,SEA,2023-04,125.5,7,17.9286
8475768,Jaden Schwartz,C,SEA,2023-05,121.0,7,17.2857
8475786,Zach Hyman,L,EDM,2023-04,137.0,6,22.8333
8475786,Zach Hyman,L,EDM,2023-05,105.0,6,17.5
8475791,Taylor Hall,L,BOS,2023-04,127.0,7,18.1429
8475794,Tyler Seguin,C,DAL,2023-04,108.5,6,18.0833
8475794,Tyler Seguin,C,DAL,2023-05,131.5,13,10.1154
8475799,Nino Niederreiter,R,WPG,2023-04,92.0,5,18.4
8475825,Jani Hakanpää,D,DAL,2023-04,137.5,6,22.9167
8475825,Jani Hakanpää,D,DAL,2023-05,243.5,9,27.0556
8475831,Philipp Grubauer,G,SEA,2023-04,-2.0,0,0.0
8475831,Philipp Grubauer,G,SEA,2023-05,5.5,0,0.0
8475855,Jesper Fast,R,CAR,2023-04,107.5,6,17.9167
8475855,Jesper Fast,R,CAR,2023-05,163.5,9,18.1667
8475883,Frederik Andersen,G,CAR,2023-05,-7.0,0,0.0
8475906,John Klingberg,D,MIN,2023-04,31.5,4,7.875
8475913,Mark Stone,R,VGK,2023-04,99.5,5,19.9
8475913,Mark Stone,R,VGK,2023-05,161.0,12,13.4167
8475913,Mark Stone,R,VGK,2023-06,73.0,5,14.6
8476292,Ondrej Palat,L,NJD,2023-04,86.0,6,14.3333
8476292,Ondrej Palat,L,NJD,2023-05,86.5,6,14.4167
8476312,Josh Manson,D,COL,2023-04,99.0,5,19.8
8476316,Laurent Brossoit,G,VGK,2023-04,-2.0,0,0.0
8476331,Dylan DeMelo,D,WPG,2023-04,163.0,5,32.6
8476389,Vincent Trocheck,C,NYR,2023-04,164.0,6,27.3333
8476389,Vincent Trocheck,C,NYR,2023-05,5.0,1,5.0
8476392,Adam Lowry,C,WPG,2023-04,187.0,5,37.4
8476393,Nick Cousins,C,FLA,2023-04,89.0,7,12.7143
8476393,Nick Cousins,C,FLA,2023-05,199.5,9,22.1667
8476393,Nick Cousins,C,FLA,2023-06,77.5,5,15.5
8476419,Jean-Gabriel Pageau,C,NYI,2023-04,144.5,6,24.0833
8476429,Scott Mayfield,D,NYI,2023-04,129.5,6,21.5833
8476442,Matt Nieto,L,COL,2023-04,63.0,7,9.0
8476448,William Karlsson,C,VGK,2023-04,119.5,5,23.9
8476448,William Karlsson,C,VGK,2023-05,195.0,12,16.25
8476448,William Karlsson,C,VGK,2023-06,60.5,5,12.1
8476453,Nikita Kucherov,R,TBL,2023-04,94.0,6,15.6667
8476454,Ryan Nugent-Hopkins,C,EDM,2023-04,46.0,6,7.6667
8476454,Ryan Nugent-Hopkins,C,EDM,2023-05,51.5,6,8.5833
8476457,Adam Larsson,D,SEA,2023-04,191.0,7,27.2857
8476457,Adam Larsson,D,SEA,2023-05,147.5,7,21.0714
8476459,Mika Zibanejad,C,NYR,2023-04,127.5,6,21.25
8476459,Mika Zibanejad,C,NYR,2023-05,17.5,1,17.5
8476460,Mark Scheifele,C,WPG,2023-04,63.5,4,15.875
8476462,Dougie Hamilton,D,NJD,2023-04,24.0,6,4.0
8476462,Dougie Hamilton,D,NJD,2023-05,86.0,6,14.3333
8476463,Jonas Brodin,D,MIN,2023-04,95.5,6,15.9167
8476467,Jamie Oleksiak,D,SEA,2023-04,198.5,7,28.3571
8476467,Jamie Oleksiak,D,SEA,2023-05,232.5,7,33.2143
8476474,Stefan Noesen,R,CAR,2023-04,99.5,6,16.5833
8476474,Stefan Noesen,R,CAR,2023-05,130.0,9,14.4444
8476479,Phillip Danault,C,LAK,2023-04,158.5,6,26.4167
8476480,Vladislav Namestnikov,C,WPG,2023-04,90.5,5,18.1
8476525,Colin Miller,D,DAL,2023-04,55.0,3,18.3333
8476525,Colin Miller,D,DAL,2023-05,78.0,7,11.1429
8476539,Jonathan Marchessault,R,VGK,2023-04,98.0,5,19.6
8476539,Jonathan Marchessault,R,VGK,2023-05,182.0,12,15.1667
8476539,Jonathan Marchessault,R,VGK,2023-06,63.5,5,12.7
8476624,Barclay Goodrow,C,NYR,2023-04,147.0,6,24.5
8476624,Barclay Goodrow,C,NYR,2023-05,17.5,1,17.5
8476822,Luke Glendening,C,DAL,2023-04,103.0,6,17.1667
8476822,Luke Glendening,C,DAL,2023-05,177.0,11,16.0909
8476826,Yanni Gourde,C,SEA,2023-04,205.5,7,29.3571
8476826,Yanni Gourde,C,SEA,2023-05,171.5,7,24.5
8476853,Morgan Rielly,D,TOR,2023-04,141.5,6,23.5833
8476853,Morgan Rielly,D,TOR,2023-05,80.5,5,16.1
8476854,Hampus Lindholm,D,BOS,2023-04,83.5,7,11.9286
8476856,Mathew Dumba,D,MIN,2023-04,87.5,6,14.5833
8476869,Brady Skjei,D,CAR,2023-04,86.5,6,14.4167
8476869,Brady Skjei,D,CAR,2023-05,148.0,9,16.4444
8476879,Cody Ceci,D,EDM,2023-04,134.5,6,22.4167
8476879,Cody Ceci,D,EDM,2023-05,103.0,6,17.1667
8476882,Teuvo Teravainen,L,CAR,2023-04,15.5,2,7.75
8476882,Teuvo Teravainen,L,CAR,2023-05,24.5,4,6.125
8476883,Andrei Vasilevskiy,G,TBL,2023-04,3.5,0,0.0
8476885,Jacob Trouba,D,NYR,2023-04,195.0,6,32.5
8476885,Jacob Trouba,D,NYR,2023-05,22.5,1,22.5
8476889,Radek Faksa,C,DAL,2023-04,101.0,6,16.8333
8476889,Radek Faksa,C,DAL,2023-05,214.5,13,16.5
8476891,Matt Grzelcyk,D,BOS,2023-04,34.5,4,8.625
8476897,Oskar Sundqvist,C,MIN,2023-04,25.0,1,25.0
8476902,Esa Lindell,D,DAL,2023-04,81.0,6,13.5
8476902,Esa Lindell,D,DAL,2023-05,138.5,13,10.6538
8476905,Chandler Stephenson,C,VGK,2023-04,107.5,5,21.5
8476905,Chandler Stephenson,C,VGK,2023-05,158.5,12,13.2083
8476905,Chandler Stephenson,C,VGK,2023-06,78.0,5,15.6
8476906,Shayne Gostisbehere,D,CAR,2023-04,50.5,6,8.4167
8476906,Shayne Gostisbehere,D,CAR,2023-05,76.0,9,8.4444
8476907,Mackenzie MacEachern,L,CAR,2023-04,65.5,3,21.8333
8476907,Mackenzie MacEachern,L,CAR,2023-05,38.5,5,7.7
8476914,Joonas Korpisalo,G,LAK,2023-04,-7.5,0,0.0
8476917,Adam Pelech,D,NYI,2023-04,90.5,6,15.0833
8476918,Jimmy Vesey,L,NYR,2023-04,67.0,6,11.1667
8476918,Jimmy Vesey,L,NYR,2023-05,9.0,1,9.0
8476921,Jordan Martinook,L,CAR,2023-04,61.0,6,10.1667
8476921,Jordan Martinook,L,CAR,2023-05,150.0,9,16.6667
8476923,Damon Severson,D,NJD,2023-04,59.5,6,9.9167
8476923,Damon Severson,D,NJD,2023-05,65.5,6,10.9167
8476927,Teddy Blueger,C,VGK,2023-05,56.0,6,9.3333
8476931,Jake McCabe,D,TOR,2023-04,188.0,6,31.3333
8476931,Jake McCabe,D,TOR,2023-05,86.5,5,17.3
8476945,Connor Hellebuyck,G,WPG,2023-04,2.0,0,0.0
8476958,Jaccob Slavin,D,CAR,2023-04,119.0,6,19.8333
8476958,Jaccob Slavin,D,CAR,2023-05,119.0,9,13.2222
8476967,Brett Kulak,D,EDM,2023-04,78.5,6,13.0833
8476967,Brett Kulak,D,EDM,2023-05,76.5,6,12.75
8476979,Erik Gustafsson,D,TOR,2023-04,13.0,1,13.0
8476979,Erik Gustafsson,D,TOR,2023-05,7.5,1,7.5
8476999,Linus Ullmark,G,BOS,2023-04,-12.0,0,0.0
8477018,Ben Hutton,D,VGK,2023-04,11.5,1,11.5
8477018,Ben Hutton,D,VGK,2023-05,14.5,1,14.5
8477021,Alexander Kerfoot,C,TOR,2023-04,101.0,6,16.8333
8477021,Alexander Kerfoot,C,TOR,2023-05,67.0,5,13.4
8477220,Nate Schmidt,D,WPG,2023-04,56.5,5,11.3
8477293,Antti Raanta,G,CAR,2023-04,0.5,0,0.0
8477353,Tyler Motte,C,NYR,2023-04,63.0,6,10.5
8477353,Tyler Motte,C,NYR,2023-05,17.0,1,17.0
8477357,Saku Maenalanen,R,WPG,2023-04,77.0,5,15.4
8477365,Connor Clifton,D,BOS,2023-04,48.5,3,16.1667
8477369,Carson Soucy,D,SEA,2023-04,91.0,7,13.0
8477369,Carson Soucy,D,SEA,2023-05,109.5,7,15.6429
8477392,Hudson Fasching,R,NYI,2023-04,83.0,6,13.8333
8477406,Mattias Janmark,C,EDM,2023-04,12.0,1,12.0
8477406,Mattias Janmark,C,EDM,2023-05,23.5,4,5.875
8477407,Anthony Duclair,L,FLA,2023-04,59.5,6,9.9167
8477407,Anthony Duclair,L,FLA,2023-05,93.5,9,10.3889
8477407,Anthony Duclair,L,FLA,2023-06,54.0,5,10.8
8477409,Carter Verhaeghe,C,FLA,2023-04,90.0,7,12.8571
8477409,Carter Verhaeghe,C,FLA,2023-05,96.5,9,10.7222
8477409,Carter Verhaeghe,C,FLA,2023-06,57.5,5,11.5
8477416,Oliver Bjorkstrand,R,SEA,2023-04,61.0,7,8.7143
8477416,Oliver Bjorkstrand,R,SEA,2023-05,104.5,7,14.9286
8477425,Miles Wood,L,NJD,2023-04,23.5,2,11.75
8477425,Miles Wood,L,NJD,2023-05,70.0,6,11.6667
8477426,Nick Paul,L,TBL,2023-04,142.0,6,23.6667
8477435,Ryan Graves,D,NJD,2023-04,85.0,6,14.1667
8477435,Ryan Graves,D,NJD,2023-05,61.5,4,15.375
8477447,Shea Theodore,D,VGK,2023-04,47.5,4,11.875
8477447,Shea Theodore,D,VGK,2023-05,117.5,12,9.7917
8477447,Shea Theodore,D,VGK,2023-06,30.0,5,6.0
8477451,Ryan Hartman,R,MIN,2023-04,114.0,5,22.8
8477456,J.T. Compher,L,COL,2023-04,139.0,7,19.8571
8477476,Artturi Lehkonen,L,COL,2023-04,173.0,7,24.7143
8477478,William Carrier,L,VGK,2023-04,23.0,1,23.0
8477478,William Carrier,L,VGK,2023-05,166.0,12,13.8333
8477478,William Carrier,L,VGK,2023-06,73.0,5,14.6
8477479,Tyler Bertuzzi,L,BOS,2023-04,162.5,7,23.2143
8477488,Brett Pesce,D,CAR,2023-04,109.0,6,18.1667
8477488,Brett Pesce,D,CAR,2023-05,146.5,9,16.2778
8477492,Nathan MacKinnon,C,COL,2023-04,147.0,7,21.0
8477493,Aleksander Barkov,C,FLA,2023-04,156.5,7,22.3571
8477493,Aleksander Barkov,C,FLA,2023-05,240.5,9,26.7222
8477493,Aleksander Barkov,C,FLA,2023-06,101.0,5,20.2
8477498,Darnell Nurse,D,EDM,2023-04,143.0,6,23.8333
8477498,Darnell Nurse,D,EDM,2023-05,121.5,5,24.3
8477500,Bo Horvat,C,NYI,2023-04,113.0,6,18.8333
8477501,Valeri Nichushkin,R,COL,2023-04,31.5,2,15.75
8477503,Max Domi,C,DAL,2023-04,77.5,6,12.9167
8477503,Max Domi,C,DAL,2023-05,163.5,13,12.5769
8477504,Josh Morrissey,D,WPG,2023-04,49.5,3,16.5
8477505,Alexander Wennberg,C,SEA,2023-04,144.0,7,20.5714
8477505,Alexander Wennberg,C,SEA,2023-05,120.0,7,17.1429
8477506,Ryan Pulock,D,NYI,2023-04,165.5,6,27.5833
8477508,Curtis Lazar,C,NJD,2023-04,49.0,4,12.25
8477508,Curtis Lazar,C,NJD,2023-05,71.0,2,35.5
8477810,Joel Hanley,D,DAL,2023-04,12.5,3,4.1667
8477810,Joel Hanley,D,DAL,2023-05,129.0,10,12.9
8477903,Garnet Hathaway,R,BOS,2023-04,153.5,7,21.9286
8477919,Frederick Gaudreau,C,MIN,2023-04,113.5,6,18.9167
8477930,Pierre-Edouard Bellemare,L,TBL,2023-04,124.5,6,20.75
8477931,Tomas Nosek,L,BOS,2023-04,118.0,7,16.8571
8477932,Aaron Ekblad,D,FLA,2023-04,122.0,6,20.3333
8477932,Aaron Ekblad,D,FLA,2023-05,116.0,9,12.8889
