player_id,name,position,team,games_played,toi_min,weighted_total,raw_grit_per_60,grit_per_game,grit_z_pos,grit_z_vol,grit_z_blend,raw_blocked_shots,raw_blocked_shots_hd,raw_blocked_shots_non_hd,raw_crease_goals,raw_dz_faceoff_wins,raw_fighting_majors,raw_giveaways_dz,raw_giveaways_nz,raw_giveaways_oz,raw_hits_taken,raw_hits_thrown,raw_penalties_drawn,raw_physical_minors_taken,raw_takeaways_high_danger,raw_takeaways_other
8477493,Aleksander Barkov,C,FLA,21,56.8,60.5,63.90845070422535,2.880952380952381,-0.33826977468215347,0.4435018774397232,-0.10373827904559046,3,1,2,0,18,0,0,0,1,1,3,0,0,0,2
8477933,Sam Reinhart,C,FLA,21,48.3,78.5,97.51552795031057,3.738095238095238,0.242376208898296,1.0084661831044268,0.4722032011601352,11,5,6,0,16,0,0,0,0,1,1,0,0,0,2
8482113,Anton Lundell,C,FLA,21,38.0,25.5,40.26315789473684,1.2142857142857142,-0.746801114669849,-0.6550398280194225,-0.719272728674721,4,1,3,0,5,0,1,0,0,0,1,0,0,0,1
8475745,Charlie Coyle,C,BOS,7,14.0,23.5,100.71428571428572,3.357142857142857,0.2976427182260391,0.7573709361423363,0.4355611836009282,1,1,0,0,5,0,0,0,0,1,2,0,0,0,1
8479325,Charlie McAvoy,D,BOS,7,10.7,27.0,151.4018691588785,3.857142857142857,1.9627588146173973,0.975432950462007,1.6665610553707801,5,3,2,0,0,0,0,0,0,2,2,0,0,0,0
8478443,Brandon Carlo,D,BOS,7,20.9,27.5,78.94736842105263,3.9285714285714284,0.20778460210158625,1.022973648513618,0.4523413160251958,2,1,1,0,0,0,0,0,0,1,2,1,1,0,1
8475762,Derek Forbort,D,BOS,7,15.3,15.5,60.78431372549019,2.2142857142857144,-0.23215621988499252,-0.11800310472505451,-0.1979102853370111,3,1,2,0,0,1,1,0,0,1,1,0,0,0,0
8476958,Jaccob Slavin,D,CAR,15,34.6,37.0,64.16184971098265,2.466666666666667,-0.15034641516586467,0.049974028390638976,-0.09025028209891356,7,3,4,0,0,0,0,0,0,1,2,0,1,0,0
8473533,Jordan Staal,C,CAR,15,34.6,80.5,139.59537572254334,5.366666666666666,0.9694104112394074,2.081898363867363,1.303156797027794,4,1,3,1,21,0,1,0,0,0,4,0,0,0,3
8476429,Scott Mayfield,D,NYI,6,24.8,34.0,82.25806451612902,5.666666666666667,0.28797542824998285,2.179797301102828,0.8555219901058364,7,4,3,0,0,0,0,0,0,0,3,0,0,0,0
8476419,Jean-Gabriel Pageau,C,NYI,6,14.2,23.0,97.1830985915493,3.8333333333333335,0.23663266355588028,1.0712399948449494,0.487014862942601,0,0,0,0,5,0,0,0,0,1,2,1,0,0,0
8473504,Cal Clutterbuck,R,NYI,6,15.3,6.0,23.52941176470588,1.0,-0.7859951336129726,-0.5643626629587002,-0.7195053924166909,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8477506,Ryan Pulock,D,NYI,6,9.8,22.0,134.6938775510204,3.6666666666666665,1.5580621551121092,0.8486577556577098,1.3452408352757894,4,1,3,0,0,0,1,0,0,0,2,0,1,0,0
8470613,Brent Burns,D,CAR,15,29.9,42.5,85.28428093645486,2.8333333333333335,0.3612756611558886,0.2940162783889107,0.3410978463257952,2,1,1,0,0,0,1,0,0,0,1,3,2,1,2
