pid,name,position,pair,y1,y2,age_at_transition,gz1,gz2,pts1,pts2,pts_delta,g1,g2,a1,a2,next_season,next_quad,next_pts,next_gz,sustained,trajectory
8482109,Alexis Lafrenière,L,2022→2023,2022,2023,20,0.311,0.2,31,39,8,19,16,12,23,2024,RED,57,-0.204,False,—-B-G-R-R
8480849,Barrett Hayton,C,2022→2023,2022,2023,21,0.989,0.484,24,43,19,10,19,14,24,2025,BLUE,25,0.18,False,—-B-G-—-B
8482157,Will Cuylle,L,2024→2025,2024,2025,21,1.907,1.809,21,38,17,13,20,8,18,,,,,,—-—-—-B-G
8482720,Matthew Knies,L,2024→2025,2024,2025,21,1.0,0.797,35,66,31,15,23,20,43,,,,,,—-—-—-B-G
8478493,Joel Eriksson Ek,C,2020→2022,2020,2022,22,0.909,1.348,29,49,20,8,26,21,23,2023,GREEN,61,1.029,True,B-G-G-G-G
8480015,Owen Tippett,R,2022→2023,2022,2023,22,0.199,0.33,21,49,28,10,27,11,22,2024,GREEN,53,0.203,True,—-B-G-G-G
8481522,Peyton Krebs,C,2024→2025,2024,2025,22,0.085,0.559,17,39,22,4,12,13,27,,,,,,—-G-G-B-G
8477935,Sam Bennett,C,2020→2022,2020,2022,23,0.473,0.828,12,49,37,8,28,4,21,2023,GREEN,40,1.129,True,B-G-G-G-G
8477964,Ivan Barbashev,C,2020→2022,2020,2022,24,0.946,0.104,26,60,34,11,26,15,34,2023,GREEN,45,0.112,True,B-G-G-R-R
8478474,Lawson Crouse,L,2022→2023,2022,2023,24,1.061,0.525,34,45,11,20,24,14,21,2024,GREEN,42,0.319,True,B-B-G-G-G
8479987,Morgan Geekie,C,2023→2024,2023,2024,24,0.452,0.464,28,39,11,9,17,19,22,2025,RED,68,-0.303,False,—-G-B-G-R
8480068,Ryan Poehling,C,2024→2025,2024,2025,24,0.64,0.421,28,36,8,11,11,17,25,,,,,,—-G-B-B-G
8480220,Noah Cates,L,2024→2025,2024,2025,24,0.149,1.004,18,47,29,6,18,12,29,,,,,,—-—-G-B-G
8477451,Ryan Hartman,R,2020→2022,2020,2022,25,0.35,0.649,20,65,45,9,34,11,31,2023,GREEN,37,0.968,True,B-G-G-G-G
8478519,Anthony Cirelli,C,2023→2024,2023,2024,25,0.902,0.24,29,45,16,11,20,18,25,2025,GREEN,52,0.295,True,G-G-B-G-G
8478462,Nicolas Roy,C,2023→2024,2023,2024,25,0.467,0.215,30,41,11,14,13,16,28,2025,BLUE,25,0.046,False,—-G-B-G-B
8476432,Boone Jenner,C,2020→2022,2020,2022,26,1.664,1.308,24,44,20,11,23,13,21,2023,GREEN,45,1.513,True,B-G-G-B-—
8477456,J.T. Compher,L,2022→2023,2022,2023,26,0.44,1.063,33,52,19,18,17,15,35,2024,GREEN,48,0.611,True,B-B-G-G-B
8479525,Ross Colton,C,2023→2024,2023,2024,26,1.274,1.119,32,40,8,16,17,16,23,2025,BLUE,24,0.524,False,—-G-B-G-B
8477998,Warren Foegele,L,2023→2024,2023,2024,26,0.51,0.08,28,41,13,13,20,15,21,2025,GRAY,17,-0.01,False,G-B-B-G-G
8476872,Scott Laughton,C,2022→2023,2022,2023,27,1.207,0.914,30,43,13,11,18,19,25,2024,GREEN,39,0.621,True,B-B-G-G-B
8477426,Nick Paul,L,2023→2024,2023,2024,27,1.138,0.984,32,46,14,17,24,15,22,2025,BLUE,15,0.19,False,B-B-B-G-B
8475220,Marcus Foligno,L,2020→2022,2020,2022,28,1.356,1.543,25,42,17,11,23,14,19,2023,BLUE,21,1.917,False,B-G-B-B-B
8475287,Erik Haula,L,2020→2022,2020,2022,28,0.331,0.71,24,44,20,12,18,12,26,2023,GREEN,41,0.94,True,B-G-G-B-G
8476826,Yanni Gourde,C,2020→2022,2020,2022,28,0.054,0.084,30,48,18,10,21,20,27,2023,GREEN,48,0.734,True,B-G-G-B-B
8476392,Adam Lowry,C,2022→2023,2022,2023,28,2.321,1.283,21,36,15,13,13,8,23,2024,BLUE,35,1.764,False,B-B-G-B-B
8480748,Kiefer Sherwood,L,2024→2025,2024,2025,28,2.013,3.38,27,36,9,10,23,17,13,,,,,,—-—-—-B-G
8475722,Jason Zucker,L,2022→2023,2022,2023,29,0.123,1.054,17,48,31,8,27,9,21,2024,BLUE,32,0.082,False,R-B-G-B-R
8476880,Tom Wilson,R,2024→2025,2024,2025,29,2.012,1.554,35,62,27,18,30,17,32,,,,,,G-G-—-B-G
8475760,Nick Bjugstad,C,2023→2024,2023,2024,30,1.557,0.82,29,45,16,17,22,12,23,2025,BLUE,9,0.215,False,—-—-B-G-B
8473533,Jordan Staal,C,2020→2022,2020,2022,31,1.87,1.597,27,36,9,8,17,19,19,2023,BLUE,34,1.37,False,B-G-B-B-G
8475169,Evander Kane,L,2023→2024,2023,2024,31,1.327,1.382,28,44,16,16,24,12,20,,,,,,G-G-B-G-—
8470604,Jeff Carter,C,2020→2022,2020,2022,34,0.173,0.822,27,45,18,17,19,10,26,2023,BLUE,29,1.135,False,B-G-B-B-—
8473422,Nick Foligno,L,2023→2024,2023,2024,35,1.426,1.096,26,37,11,10,17,16,20,2025,BLUE,15,1.381,False,B-B-B-G-B
