player_id,name,position,team,birth_year,age_2025,gp,grit_z_2025,pts_2025,g_2025,a_2025,dzfw_2025,quad_2020,quad_2022,quad_2023,quad_2024,quad_2025,blue_streak,ever_btog,pts_median_2025,pts_gap
8480855,Jack McBain,C,UTA,2000,24,75,2.2526,25,9,16,95,—,—,BLUE,BLUE,BLUE,3,False,36,11
8482737,Zachary Bolduc,R,MTL,2003,21,78,1.2173,30,12,18,7,—,—,—,BLUE,BLUE,2,False,36,6
8482476,Emil Heineman,L,NYI,2001,23,82,1.1293,31,22,9,0,—,—,—,BLUE,BLUE,2,False,36,5
8482092,Ridly Greig,C,OTT,2002,22,77,0.9396,35,13,22,141,—,—,BLUE,BLUE,BLUE,3,False,36,1
8480188,Fabian Zetterlund,L,OTT,1999,25,82,0.8877,33,17,16,0,—,—,BLUE,GREEN,BLUE,1,True,36,3
8479996,Cody Glass,C,NJD,1999,25,70,0.7547,26,19,7,204,—,—,—,GRAY,BLUE,1,False,36,10
8480835,Jack Drury,C,COL,2000,24,82,0.7422,27,10,17,252,—,—,GRAY,BLUE,BLUE,2,False,36,9
8482713,Mackie Samoskevich,R,FLA,2002,22,77,0.5507,32,12,20,0,—,—,—,BLUE,BLUE,2,False,36,4
8484829,Justin Hryckowian,C,DAL,2001,23,81,0.5381,30,14,16,65,—,—,—,—,BLUE,1,False,36,6
8481716,Dmitri Voronkov,L,CBJ,2000,24,63,0.5141,32,17,15,1,—,—,—,GRAY,BLUE,1,False,36,4
8482088,Justin Sourdif,C,WSH,2002,22,78,0.4915,35,15,20,132,—,—,—,—,BLUE,1,False,36,1
8483525,Danila Yurov,R,MIN,2003,21,73,0.4638,27,12,15,83,—,—,—,—,BLUE,1,False,36,9
8483489,Fraser Minten,C,BOS,2004,20,82,0.4473,35,17,18,108,—,—,—,—,BLUE,1,False,36,1
8481553,Bobby Brink,R,MIN,2001,23,68,0.1862,30,15,15,8,—,—,—,GRAY,BLUE,1,False,36,6
8480064,Josh Norris,C,BUF,1999,25,44,0.1142,34,13,21,84,—,GREEN,BLUE,BLUE,BLUE,3,False,36,2
8480980,Connor Dewar,C,PIT,1999,25,78,0.0643,30,14,16,33,—,—,BLUE,—,BLUE,2,False,36,6
