season,player_id,name,position,team,games_played,toi_min,grit_z_blend,grit_z_nofaceoff,nf_per60,goals,assists,points,season_pts_median,quadrant_orig,quadrant_nofaceoff,raw_dz_faceoff_wins
2020,8480801,Brady Tkachuk,L,OTT,71,1344.3,2.581666,2.917799,78.42,21,23,44,32,GREEN,GREEN,3
2020,8478483,Mitch Marner,C,TOR,59,1271.7,-1.312395,-0.925562,21.0663,16,51,67,32,RED,RED,4
2020,8476919,Chris Tierney,C,OTT,71,1220.5,0.221564,-0.990507,22.2204,11,26,37,32,GREEN,RED,237
2020,8479318,Auston Matthews,C,TOR,70,1467.9,-0.061418,0.08367,30.6356,47,33,80,32,RED,GREEN,99
2020,8477939,William Nylander,C,TOR,68,1238.2,-1.09582,-0.933792,22.3389,31,28,59,32,RED,RED,36
2020,8476419,Jean-Gabriel Pageau,C,NYI,67,1283.5,2.103416,1.437122,44.6436,26,16,42,32,GREEN,GREEN,276
2020,8477407,Anthony Duclair,L,OTT,66,1073.2,-0.776853,-0.702191,27.4506,23,17,40,32,RED,RED,2
2020,8477021,Alexander Kerfoot,C,TOR,65,960.0,0.010823,0.358236,37.4062,9,19,28,32,BLUE,BLUE,56
2020,8475166,John Tavares,C,TOR,63,1231.6,-0.16312,-0.685434,24.1393,26,34,60,32,RED,RED,145
2020,8477953,Kasperi Kapanen,R,TOR,69,1089.5,-0.552489,-0.453699,31.5833,13,23,36,32,RED,RED,1
2020,8478400,Colin White,C,OTT,61,958.1,-0.106786,-0.03018,32.721,7,16,23,32,GRAY,GRAY,73
2020,8477015,Connor Brown,R,OTT,71,1428.2,-1.023635,-1.033313,20.6484,16,27,43,32,RED,RED,14
2020,8474589,Tyler Ennis,C,EDM,70,1029.6,-0.076507,0.889594,43.007,16,21,37,32,RED,GREEN,1
2020,8473573,Artem Anisimov,C,OTT,49,678.6,-0.855627,-1.006321,23.6074,15,5,20,32,GRAY,GRAY,46
2020,8477341,Andreas Johnsson,L,TOR,43,677.5,-0.516039,-0.407397,32.3247,8,13,21,32,GRAY,GRAY,0
2020,8473563,Nicklas Backstrom,C,WSH,61,1160.5,-0.152117,-0.962926,21.7148,12,42,54,32,RED,RED,165
2020,8475768,Jaden Schwartz,C,STL,71,1290.7,-0.485531,0.32024,34.5859,22,35,57,32,RED,GREEN,0
2020,8477944,Jakub Vrana,L,WSH,69,1026.9,-1.209187,-1.154178,21.151,25,27,52,32,RED,RED,0
2020,8480023,Robert Thomas,C,STL,66,961.2,-1.20221,-0.995083,23.377,10,32,42,32,RED,RED,21
2020,8477952,Robby Fabbri,C,DET,61,985.1,-0.492649,0.21598,34.9305,15,17,32,32,RED,GREEN,7
2020,8476905,Chandler Stephenson,C,VGK,65,931.1,-0.162945,-0.182052,32.0589,11,15,26,32,GRAY,GRAY,78
2020,8475209,Richard Panik,R,WSH,59,668.9,-0.101513,0.010716,42.9661,9,13,22,32,GRAY,BLUE,2
2020,8475343,Nic Dowd,C,WSH,56,606.9,2.279246,2.067626,60.1087,7,8,15,32,BLUE,BLUE,128
2020,8476897,Oskar Sundqvist,C,STL,57,819.7,0.267056,0.788472,42.235,12,11,23,32,BLUE,BLUE,44
2020,8476880,Tom Wilson,R,WSH,68,1242.5,1.890129,2.149599,68.2093,21,23,44,32,GREEN,GREEN,6
2020,8475158,Ryan O'Reilly,C,STL,71,1460.8,0.535552,-1.115454,19.6742,12,49,61,32,GREEN,RED,335
