player_id,name,position,team,games_played,toi_min,weighted_total,raw_grit_per_60,grit_per_game,grit_z_pos,grit_z_vol,grit_z_blend,raw_blocked_shots,raw_blocked_shots_hd,raw_blocked_shots_non_hd,raw_crease_goals,raw_dz_faceoff_wins,raw_fighting_majors,raw_giveaways_dz,raw_giveaways_nz,raw_giveaways_oz,raw_hits_taken,raw_hits_thrown,raw_penalties_drawn,raw_physical_minors_taken,raw_takeaways_high_danger,raw_takeaways_other
8480801,Brady Tkachuk,L,OTT,71,1344.3,1763.0,78.68779290336978,24.830985915492956,2.1174194059183327,3.6649068198191617,2.5816656300885814,43,12,31,13,3,4,12,11,17,133,303,43,18,3,32
8478483,Mitch Marner,C,TOR,59,1271.7,454.5,21.443736730360932,7.703389830508475,-1.4614600166335845,-0.9645763997157529,-1.312394931558235,37,12,25,5,4,0,29,13,29,55,24,13,1,4,60
8476919,Chris Tierney,C,OTT,71,1220.5,926.0,45.52232691519869,13.04225352112676,0.1585500548615495,0.3685950774847937,0.22156356164852276,37,10,27,6,237,0,22,6,14,41,44,13,0,4,28
8474697,Mark Borowiecki,D,OTT,53,950.8,1174.0,74.08498106857384,22.150943396226417,3.550770314977426,3.323792200062533,3.482676880502958,120,71,49,0,0,2,27,2,1,84,199,5,6,2,8
8476331,Dylan DeMelo,D,WPG,59,1188.4,755.0,38.11847862672501,12.796610169491526,0.2941499834189074,0.45775165966727976,0.3432304862934191,77,46,31,0,0,1,32,7,3,116,105,7,3,2,7
8474162,Jake Muzzin,D,TOR,53,1144.5,923.0,48.38794233289646,17.41509433962264,1.2240081022001978,1.8727924269705594,1.4186433996313061,110,65,45,1,0,0,48,11,4,121,109,13,4,3,21
8476879,Cody Ceci,D,TOR,56,1150.3,751.0,39.17238981135356,13.410714285714286,0.38957734939833466,0.6459048129126416,0.4664755884526267,79,48,31,0,0,0,26,2,2,128,92,5,2,1,12
8479318,Auston Matthews,C,TOR,70,1467.9,947.5,38.72879623952585,13.535714285714286,-0.29851940107907876,0.49181751854874173,-0.06141832519073262,60,22,38,12,99,0,24,6,18,82,40,14,1,10,68
8477939,William Nylander,C,TOR,68,1238.2,533.0,25.82781456953642,7.838235294117647,-1.1664988000854832,-0.9309040423881934,-1.0958203727762963,14,0,14,17,36,0,13,4,24,66,9,12,1,4,38
8476419,Jean-Gabriel Pageau,C,NYI,67,1283.5,1507.0,70.44799376704324,22.492537313432837,1.8355515333014165,2.7284322138949992,2.1034157374794913,53,21,32,10,276,3,15,3,14,91,128,17,4,3,30
8468493,Ron Hainsey,D,OTT,64,1323.6,515.5,23.368087035358116,8.0546875,-1.041437907913068,-0.9951089858504493,-1.0275392312942824,102,64,38,1,0,0,49,4,3,48,51,3,0,3,6
